time,Team1Away,Team2Home,Channel,Team1Score,Team2Score,LastMeaningfulScore
• Noon,New Mexico,Wisconsin,Big Ten Network,14,45,37
• 7:30 p.,Maine,Western Kentucky,ESPN+,31,28,53.25
• 6 p.,Youngstown State,West Virginia,No TV channel listed,17,52,29
• 11 p.,San Jose State,Washington State,Pac-12 Network,0,31,2
• 5 p.,North Dakota,Washington,Pac-12 Network,3,45,7
• Noon,Towson,Wake Forest,ACC Network,20,51,15.5
• 2 p.,William & Mary,Virginia Tech,ACC Network,17,62,19
• Noon,Nevada,Vanderbilt,SEC Network,10,41,17.5
• 7 p.,Baylor,UTSA,No TV channel listed,37,20,41
• 8 p.,New Mexico State,Utah State,No TV channel listed,13,60,14.25
• 9 p.,UTEP,UNLV,No TV channel listed,24,52,21.25
• 6 p.,South Carolina State,UCF,ESPN3,0,38,3.5
• 8 p.,Nicholls,Tulane,ESPN3,17,42,21
• 7 p.,Florida A&M,Troy,ESPN+,7,59,12
• 4 p.,Lamar,Texas Tech,No TV channel listed,0,77,4
• 7 p.,Texas Southern,Texas State,ESPN3,20,36,36.75
• 8 p.,Tulsa,Texas,Longhorn Network,21,28,53.5
• 4 p.,Eastern Tennessee State,Tennessee,SEC Network,3,59,12
• 3:30 p.,Buffalo,Temple,ESPN3,36,29,59
• 3:30 p.,Wagner,Syracuse,ACC Network,10,62,5
• 8:30 p.,USC,Stanford,FOX,3,17,4.5
• 7 p.,UL Monroe,Southern Mississippi,ESPN3,21,20,30.5
• Noon,Georgia Tech,South Florida,ABC/ESPN2,38,49,54.75
• 3:30 p.,Georgia,South Carolina,CBS,41,17,30
• 8 p.,TCU,SMU,ESPN2,42,12,22
• 9 p.,Sacramento State,San Diego State,No TV channel listed,14,28,55.75
• Noon,Eastern Michigan,Purdue,Big Ten Network,20,19,60
• 8 p.,Penn State,Pittsburgh,ABC,51,6,3
• 8 p.,Southern Utah,Oregon State,Pac-12 Network,25,48,21.5
• 2 p.,Portland State,Oregon,Pac-12 Network,14,62,21
• 7:30 p.,Florida International,Old Dominion,No TV channel listed,28,20,37.5
• 8 p.,South Alabama,Oklahoma State,No TV channel listed,13,55,10.75
• 1 p.,UCLA,Oklahoma,FOX,21,49,37.5
• 3:30 p.,Rutgers,Ohio State,Big Ten Network,3,52,4
• 3:30 p.,Ball State,Notre Dame,NBC,16,24,34.5
• Noon,Duke,Northwestern,ESPNU,21,7,20.75
• 7:30 p.,Utah,Northern Illinois,ESPNEWS,17,6,36.25
• 7:30 p.,Incarnate Word,North Texas,ESPN+,16,58,15.5
• 3:30 p.,Colorado,Nebraska,ABC,33,28,58.75
• 12:30 p.,Georgia State,NC State,ACC Network,7,41,11.5
• 3:30 p.,Memphis,Navy,CBSSN,21,22,57.5
• 7 p.,Wyoming,Missouri,ESPNU,13,40,29.5
• 4 p.,Southern Illinois,Mississippi,SEC Network,41,76,33.5
• 7:30 p.,Fresno State,Minnesota,FS1,14,21,56.5
• 7 p.,UT Martin,Middle Tennessee,ESPN+,37,61,38.25
• Noon,Western Michigan,Michigan,FS1,3,49,7
• 8 p.,Cincinnati,Miami (OH),ESPN3,21,0,9.5
• 6 p.,Savannah State,Miami (FL),ACC Network,0,77,11
• 6:30 p.,Eastern Kentucky,Marshall,ESPN+,16,32,20.25
• 7 p.,Southeastern Louisiana,LSU,ESPN2,0,31,7.75
• 7 p.,Indiana State,Louisville,ACC Network,7,31,41.5
• 7 p.,Southern,Louisiana Tech,ESPN+,17,54,9.5
• 3:30 p.,Howard,Kent State,ESPN+,14,54,9.75
• Noon,Mississippi State,Kansas State,ESPN,31,10,27
• 6 p.,Iowa State,Iowa,FOX,3,13,38.25
• 7:30 p.,Virginia,Indiana,Big Ten Network,16,20,28
• 7:30 p.,Western Illinois,Illinois,Big Ten Network,14,34,33.5
• Noon,Arizona,Houston,ABC/ESPN2,45,18,10
• 11:59 p.,Rice,Hawaii,No TV channel listed,29,43,56.5
• 6 p.,Massachusetts,Georgia Southern,ESPN+,13,34,29.5
• 7:20 p.,Samford,Florida State,ACC Network,26,36,56
• 2 p.,Air Force,Florida Atlantic,No TV channel listed,27,33,49.25
• 7:30 p.,Kentucky,Florida,SEC Network,27,16,41.25
• 3:30 p.,North Carolina,East Carolina,ESPNU,19,41,28.5
• 7:30 p.,Arkansas,Colorado State,CBSSN,27,34,60
• 7 p.,UAB,Coastal Carolina,ESPN+,24,47,36.25
• 6 p.,Appalachian State,Charlotte,ESPN+,45,13,14
• 2 p.,Kansas,Central Michigan,ESPN+,31,7,34.75
• 10:15 p.,California,BYU,ESPN2,21,18,45.75
• 6 p.,Maryland,Bowling Green,ESPN+,45,14,40
• 1 p.,Holy Cross,Boston College,ACC Network,14,62,8
• 10:15 p.,UConn,Boise State,ESPNU,7,62,7.5
• 7:30 p.,Alabama State,Auburn,SEC Network,9,63,14
• Noon,Liberty,Army,CBSSN,14,38,30
• 10:45 p.,Michigan State,Arizona State,ESPN,13,16,60
• 3:30 p.,Arkansas State,Alabama,ESPN2,7,57,3.5
• 3:30 p.,Morgan State,Akron,ESPN+,7,41,9
• 3:30 p.,Clemson,Texas A&M,ABC,28,26,44
