Rank,Team,Conf,Type,Record,Mean,Median,St.Dev,Draft18Picks,AwardWinners18,Team,CoachRank,ReturningStarters,wins17,18Wins,18Losses,Offense_Rk,School,G,Pts_scored,Off_Yds,Off_YAvg,Total First Dows,DefenseRank,Pts-allowed,Yds_allowed,Avg_allowed,Total First Downs Allowed,Opponent_Tunrovers
72,Wyoming,MWC,G5,1-1,72.28,75,15.41,1,0,Wyoming,80,17,8,1,1,107,Wyoming,3,20.3,301.3,4.6,17.3,96,29.3,376.7,5.2,21.3,1
6,Wisconsin,B10,P5,1-0,7.18,6,4.17,5,0,Wisconsin,14,13,13,1,0,42,Wisconsin,2,39.5,529.5,7.5,26.5,12,8.5,258,4.4,14.5,2.5
92,Western Michigan,MAC,G5,0-1,88.78,90,11.82,2,0,Western Michigan,110,13,6,0,1,103,Western Michigan,2,22.5,414.5,6,20.5,129,52,505.5,7.1,23,0.5
109,Western Kentucky,CUSA,G5,0-1,102.57,104,11.5,2,0,Western Kentucky,111,10,6,0,1,122,Western Kentucky,2,15.5,347,5,16,103,32.5,408.5,5.9,19,1
31,West Virginia,B12,P5,1-0,34.31,34,13.9,1,0,West Virginia,31,12,7,1,0,22,West Virginia,2,46,586,8.6,27.5,31,15.5,297,4.8,19,0.5
28,Washington State,P12,P5,1-0,32.66,33,13.96,2,0,Washington State,29,10,9,1,0,54,Washington State,2,36,469,5.8,12,15,9.5,158,2.8,7.5,1
13,Washington,P12,P5,0-1,17.44,11,16.95,5,0,Washington,7,17,10,0,1,74,Washington,2,30.5,515,7.2,24.5,22,12,341,4.6,18.5,0.5
36,Wake Forest,ACC,P5,1-0,39.61,39,11.5,2,0,Wake Forest,46,14,8,1,0,51,Wake Forest,2,37,565,6.5,32,49,18.5,423,5.3,22.5,1
12,Virginia Tech,ACC,P5,1-0,16.16,14,8.36,5,0,Virginia Tech,24,12,9,1,0,28,Virginia Tech,2,43,452.5,6.9,23.5,18,10,296.5,4.9,12,3.5
69,Virginia,ACC,P5,1-0,69.87,72,10.48,2,1,Virginia,51,13,6,1,0,81,Virginia,2,29,393,5.7,20,38,16.5,306,5.4,15,1.5
64,Vanderbilt,SEC,P5,1-0,66.74,66,13.99,1,0,Vanderbilt,60,12,5,1,0,49,Vanderbilt,2,38,407.5,6.4,22,11,8.5,272,4,18,3
114,UTSA,CUSA,G5,0-1,107.97,112,13.56,1,0,UTSA,103,10,6,0,1,126,UTSA,2,13.5,238,3.5,17,123,43,499,7.6,23.5,0.5
130,UTEP,CUSA,G5,0-1,128.82,130,1.89,1,0,UTEP,128,12,0,0,1,120,UTEP,2,17,308.5,4.6,17.5,121,41,426.5,6.5,22,0.5
83,Utah State,MWC,G5,0-1,80.24,78,15.49,0,0,Utah State,99,18,6,0,1,24,Utah State,2,45.5,396,5.5,24.5,80,25.5,366,4.7,21.5,3.5
30,Utah,P12,P5,1-0,34.07,33,11.45,1,1,Utah,25,14,7,1,0,80,Utah,2,29,470.5,6.4,22,6,8,144.5,2.3,9,1
14,USC,P12,P5,1-0,18.15,17,7.21,4,0,USC,18,13,11,1,0,100,USC,2,23,416.5,5.7,21.5,52,19,374,6,15,0.5
106,UNLV,MWC,G5,0-1,101.92,101,8.09,0,0,UNLV,112,14,5,0,1,53,UNLV,2,36.5,469,6.7,23.5,106,33.5,444.5,6.4,21.5,1.5
111,UL Monroe,SBC,G5,1-0,105.18,107.5,10.39,0,0,UL Monroe,115,17,4,1,0,87,UL Monroe,2,27.5,455,5.9,22.5,78,25.5,436.5,6,24,2.5
112,UL Lafayette,SBC,G5,1-0,106.13,110,13.77,0,0,UL Lafayette,124,11,5,1,0,13,UL Lafayette,1,49,556,7.6,27,40,17,306,4.7,15,0
120,UConn,AAC,G5,0-1,115.95,117,6.15,1,0,UConn,97,9,3,0,1,127,UConn,2,12,339.5,5.1,18,130,59,737,10.1,35.5,0
78,UCLA,P12,P5,0-1,76.25,77,17.11,5,0,UCLA,19,12,6,0,1,116,UCLA,2,19,344.5,4.8,17.5,115,37.5,394.5,5.4,22.5,1
16,UCF,AAC,G5,1-0,19.82,19,12.73,4,1,UCF,96,12,13,1,0,19,UCF,2,47,612.5,7.7,32,10,8.5,372,4.7,20.5,3
93,UAB,CUSA,G5,1-0,89.25,92,20.67,0,0,UAB,57,16,8,1,0,48,UAB,2,38,492.5,6.6,31,71,23.5,320.5,5.5,18.5,1
96,Tulsa,AAC,G5,1-0,92.1,92,13.71,0,0,Tulsa,95,15,2,1,0,76,Tulsa,2,29.5,411.5,5.5,21,90,27.5,366.5,5.7,20.5,1.5
94,Tulane,AAC,G5,0-1,89.86,89,11.69,2,0,Tulane,108,14,5,0,1,75,Tulane,2,29.5,447,6.6,22,55,20,481.5,5.8,27.5,2.5
77,Troy,SBC,G5,0-1,75.17,77,23.65,0,0,Troy,59,12,11,0,1,41,Troy,2,39.5,428,5.5,25.5,100,31.5,351.5,5.9,15,2.5
48,Toledo,MAC,G5,1-0,51.32,56,16.3,1,0,Toledo,61,12,11,1,0,1,Toledo,1,66,603,7.8,30,1,3,222,2.9,14,3
66,Texas Tech,B12,P5,0-1,69.28,65,17.46,2,0,Texas Tech,63,16,6,0,1,12,Texas Tech,2,52,580.5,6.5,34,70,23.5,364,5.4,17.5,2.5
129,Texas State,SBC,G5,0-1,125.99,128,4.42,0,0,Texas State,116,14,2,0,1,105,Texas State,2,21.5,361.5,5.4,20,89,27.5,387,5.7,20,2.5
32,Texas A&M,SEC,P5,1-0,35.29,34,10.49,3,0,Texas A&M,4,16,7,1,0,29,Texas A&M,2,42.5,629.5,7.5,32.5,45,17.5,336,6.4,13.5,0
46,Texas,B12,P5,0-1,48.19,45,19.78,4,1,Texas,22,14,7,0,1,82,Texas,2,28.5,445.5,6.1,22.5,88,27.5,380,5.3,19,1
90,Tennessee,SEC,P5,0-1,87.98,90,18.98,3,0,Tennessee,44,12,4,0,1,52,Tennessee,2,36.5,357.5,5.8,19,59,21.5,370.5,6.2,17.5,2
86,Temple,AAC,G5,0-1,84.94,82,16.86,2,0,Temple,92,12,7,0,1,99,Temple,2,23,303,5,16,87,27.5,416,5.1,26.5,1
17,TCU,B12,P5,1-0,19.85,19,7.39,3,0,TCU,8,11,11,1,0,14,TCU,2,48.5,458.5,6.5,26.5,14,9.5,213.5,3.5,11,2
61,Syracuse,ACC,P5,1-0,62.6,61,14.71,1,0,Syracuse,81,14,4,1,0,7,Syracuse,2,58.5,510,6,26,82,26,463,6.9,19,2.5
10,Stanford,P12,P5,1-0,14.05,13,5.14,4,2,Stanford,10,15,9,1,0,93,Stanford,2,24,362.5,6.4,16,3,6.5,297.5,4.8,15.5,2
87,Southern Mississippi,CUSA,G5,1-0,85.02,91,19.13,3,0,Southern Mississippi,91,9,8,1,0,50,Southern Mississippi,2,37.5,446.5,5.7,27.5,28,14,277.5,4.8,12,3
47,South Florida,AAC,G5,1-0,48.87,47,16.9,2,0,South Florida,33,11,10,1,0,34,South Florida,2,41.5,470.5,5.9,28,81,26,418,6.1,21.5,2.5
29,South Carolina,SEC,P5,1-0,33.35,32,9.07,1,0,South Carolina,32,14,9,1,0,63,South Carolina,2,33,448.5,6.4,25.5,92,28,358,5.6,25,1
116,South Alabama,SBC,G5,0-1,113.87,115,6.51,0,0,South Alabama,130,13,4,0,1,110,South Alabama,2,19.5,261,3.8,15,122,42.5,528.5,6.5,27,3
97,SMU,AAC,G5,0-1,95.85,97,12.54,3,0,SMU,101,14,7,0,1,119,SMU,2,17.5,249,4.4,11,124,44,473.5,5.8,28.5,1
128,San Jose State,MWC,G5,0-1,125.57,126,2.87,1,0,San Jose State,126,14,2,0,1,115,San Jose State,2,19,308,4.3,13.5,114,37.5,566.5,6.4,15.5,2
58,San Diego State,MWC,G5,0-1,101,60.05,58,2,0,San Diego State,70,14,10,0,1,114,San Diego State,2,19,346,5.5,19,66,22.5,308,5.6,15,0.5
84,Rutgers,B10,P5,1-0,83.67,86,14.28,2,0,Rutgers,83,15,4,1,0,113,Rutgers,2,19,278.5,4.1,19,97,29.5,377.5,5.9,22,1.5
126,Rice,CUSA,G5,1-1,122.22,125,8.39,0,0,Rice,127,11,1,1,1,79,Rice,3,29,427.3,5.6,21.7,117,38.7,476,8.1,21.3,1
54,Purdue,B10,P5,0-1,56.6,51,19.65,1,0,Purdue,37,13,7,0,1,98,Purdue,2,23,474,6.9,21,79,25.5,408.5,5.7,20.5,0.5
49,Pittsburgh,ACC,P5,1-0,52.24,50,11.84,3,0,Pittsburgh,50,13,5,1,0,109,Pitt,2,19.5,353.5,5.4,18,95,29,356.5,5.9,19.5,2
8,Penn State,B10,P5,1-0,10.47,10,4.51,6,1,Penn State,12,10,11,1,0,16,Penn State,2,48,412,5.8,23.5,63,22,375.5,5.1,18.5,2
115,Oregon State,P12,P5,0-1,108.36,109,11.75,0,0,Oregon State,86,15,1,0,1,40,Oregon State,2,39.5,520.5,7.5,21.5,127,51,605.5,7,31.5,1
34,Oregon,P12,P5,1-0,36.2,36,13.49,2,0,Oregon,72,14,7,1,0,4,Oregon,2,60,533,7.4,27.5,51,19,316,4.4,16,1.5
123,Old Dominion,CUSA,G5,0-1,118.18,120,7.87,0,0,Old Dominion,94,16,5,0,1,123,Old Dominion,2,15,348.5,5.1,17,120,40,540,6.9,27,1
15,Oklahoma State,B12,P5,1-0,19.71,17.5,8.52,4,2,Oklahoma State,15,12,10,1,0,8,Oklahoma State,2,56.5,674.5,7.6,32.5,30,15,237,3.5,14,1.5
3,Oklahoma,B12,P5,1-0,4.4,4,2.38,4,5,Oklahoma,16,12,12,1,0,9,Oklahoma,2,56,567.5,8.6,26.5,44,17.5,353.5,4.7,20,0.5
2,Ohio State,B10,P5,1-0,4.24,3,3.95,7,1,Ohio State,3,12,12,1,0,2,Ohio State,2,64.5,651,8.2,33.5,41,17,263,4.2,13.5,2
70,Ohio,MAC,G5,1-0,70.67,71,18.19,1,0,Ohio,48,12,9,1,0,47,Ohio,1,38,425,5.9,22,101,32,645,7,26,4
9,Notre Dame,FBSI,P5,1-0,10.75,10,4.37,4,0,Notre Dame,17,15,10,1,0,92,Notre Dame,2,24,359,5.1,20.5,37,16.5,328,4,22,2
22,Northwestern,B10,P5,1-0,23.75,22,9.61,1,0,Northwestern,23,14,10,1,0,112,Northwestern,2,19,391,4.7,23,74,24,386.5,5.8,19,1.5
81,Northern Illinois,MAC,G5,0-1,77.19,79,11.76,0,0,Northern Illinois,79,14,8,0,1,129,Northern Illinois,2,6.5,219.5,3.2,15,77,25,353,4.9,18.5,1.5
68,North Texas,CUSA,G5,1-0,69.84,74,21.58,0,0,North Texas,73,17,9,1,0,11,North Texas,2,52,568,6.1,33,54,19.5,276,5.4,10.5,1
76,North Carolina,ACC,P5,0-1,73.67,71,20.44,3,0,North Carolina,40,13,3,0,1,118,North Carolina,2,18,348,4.9,17.5,102,32.5,394.5,4.8,22.5,0
119,New Mexico State,FBSI,G5,0-2,115.72,119,11.38,1,0,New Mexico State,104,15,7,0,2,128,New Mexico State,3,10,228.7,3.3,15.3,126,45.7,475,6.1,23,1
113,New Mexico,MWC,G5,1-0,107.12,110,11.33,1,0,New Mexico,102,13,3,1,0,46,New Mexico,2,38,445.5,6.1,23,113,37.5,567,7.8,24,2
89,Nevada,MWC,G5,1-0,87.6,88,12.35,1,0,Nevada,121,14,3,1,0,37,Nevada,2,41,443,7,20,98,30,408,5.4,21,1.5
65,Nebraska,B10,P5,0-0,67.32,60,20.68,1,0,Nebraska,28,15,4,0,0,84,Nebraska,1,28,565,6.8,25,105,33,395,4.6,26,0
26,NC State,ACC,P5,1-0,32.01,30,12.43,7,2,NC State,39,9,9,1,0,67,NC State,2,32.5,466.5,6.6,26,17,10,357,5.4,21,1
82,Navy,AAC,G5,0-1,80.09,79,16.62,0,0,Navy,45,9,7,0,1,71,Navy,2,31.5,363.5,5.2,19.5,119,40,452,7.7,19.5,2.5
42,Missouri,SEC,P5,1-0,43.57,43,13.88,1,0,Missouri,54,16,7,1,0,23,Missouri,2,45.5,579.5,6.9,29.5,27,13.5,262.5,4.5,14,1
18,Mississippi State,SEC,P5,1-0,20.22,20,7.18,4,0,Mississippi State,65,17,9,1,0,18,Mississippi State,2,47,578,8.4,24.5,5,8,233.5,3.5,15.5,1
37,Mississippi,SEC,P5,1-0,39.95,39,12.39,4,0,Mississippi,66,15,6,1,0,3,Mississippi,2,61.5,596,9.4,24,107,34,552.5,5.9,30,1.5
52,Minnesota,B10,P5,1-0,56.17,53,13.05,0,0,Minnesota,41,14,5,1,0,58,Minnesota,2,34.5,417,5.5,22.5,21,12,285,4.2,16.5,1.5
99,Middle Tennessee,CUSA,G5,0-1,96.6,99,11.08,1,0,Middle Tennessee,93,17,7,0,1,59,Middle Tennessee State,2,34,389,5.7,22,110,36,410.5,5.6,23,1
20,Michigan State,B10,P5,1-0,20.65,17,11.44,1,0,Michigan State,9,19,10,1,0,91,Michigan State,2,25.5,415.5,6,23,69,23.5,390.5,5.5,25,1.5
23,Michigan,B10,P5,0-1,27.73,21,18.65,2,0,Michigan,11,17,8,0,1,62,Michigan,2,33,379,6.2,20,26,13.5,255,3.6,19,1
104,Miami (OH),MAC,G5,0-1,101.24,101,9.45,0,0,Miami (OH),105,16,5,0,1,124,Miami (OH),2,14,321,4.8,17,91,28,338,4.9,18.5,0
25,Miami (FL),ACC,P5,0-1,30.31,25,16.89,6,0,Miami (FL),6,14,10,0,1,17,Miami (FL),2,47,418,6.1,19,36,16.5,187,3.1,11,2
27,Memphis,AAC,G5,1-0,32.38,33,10.78,2,0,Memphis,56,15,10,1,0,26,Memphis,2,43.5,565,8.4,23,48,18,245,3.8,14,1.5
101,Massachusetts,FBSI,G5,1-1,97.44,101,12.23,0,0,Massachusetts,118,15,4,1,1,68,Massachusetts,3,32.3,296.3,6.6,14,109,34.7,284,5.6,14.7,1.3
60,Maryland,B10,P5,1-0,61.6,60,19.23,2,0,Maryland,55,13,4,1,0,39,Maryland,2,39.5,486,6.5,22.5,58,21.5,281.5,4.3,16.5,2
63,Marshall,CUSA,G5,1-0,65.84,68,14.15,0,0,Marshall,74,18,8,1,0,60,Marshall,2,33.5,405,5.7,20.5,62,22,321,4.7,17,2.5
11,LSU,SEC,P5,1-0,14.49,13,6.29,0,0,LSU,36,10,9,1,0,70,LSU,2,32,315.5,5.4,16,9,8.5,298,4.1,18,2.5
43,Louisville,ACC,P5,0-1,44.8,41,17.89,7,0,Louisville,26,11,8,0,1,102,Louisville,2,22.5,321,5.2,20,94,29,365,5.6,17,0.5
73,Louisiana Tech,CUSA,G5,1-0,72.53,74,12.81,1,0,Louisiana Tech,78,15,7,1,0,32,Louisiana Tech,2,42,534.5,6.9,27,57,21.5,299.5,4.6,16.5,2.5
103,Liberty,FBSI,G5,1-0,98.83,107,27.88,0,0,Liberty,117,16,0,1,0,61,Liberty,2,33,504,7.5,25,73,24,405.5,5.2,23,1
53,Kentucky,SEC,P5,1-0,56.4,57,12.52,0,0,Kentucky,53,15,7,1,0,73,Kentucky,2,31,440.5,6.9,23.5,47,18,307.5,4.6,17.5,1
127,Kent State,MAC,G5,0-1,123.57,125,3.73,0,0,Kent State,129,13,2,0,1,44,Kent State,2,39,483.5,5.9,27,65,22.5,372,4.9,19.5,3
44,Kansas State,B12,P5,1-0,45.01,42,15.22,1,0,Kansas State,20,13,8,1,0,117,Kansas State,2,18.5,310.5,4.7,17,86,27.5,436,6.1,22.5,0.5
124,Kansas,B12,P5,0-1,118.46,122,9.96,1,0,Kansas,119,19,1,0,1,89,Kansas,2,27,308,4.3,17,35,16.5,304.5,4.5,14.5,3.5
35,Iowa State,B12,P5,0-0,38.3,35,13.93,0,0,Iowa State,34,12,8,0,0,130,Iowa State,1,3,188,3.4,10,24,13,271,4.2,15,0
21,Iowa,B10,P5,1-0,21.71,21,9.52,3,2,Iowa,27,13,8,1,0,97,Iowa,2,23,311.5,4.5,16.5,2,5,199.5,3.4,12.5,1.5
55,Indiana,B10,P5,1-0,58.08,57,11.86,2,0,Indiana,71,10,5,1,0,78,Indiana,2,29,426,5.8,26,61,22,310.5,4.7,18.5,2
102,Illinois,B10,P5,1-0,98.3,102,13.94,0,0,Illinois,84,16,2,1,0,66,Illinois,2,32.5,425,6.1,21,50,19,407.5,5.6,21,2.5
51,Houston,AAC,G5,1-0,54.92,59,15.84,0,1,Houston,90,10,7,1,0,25,Houston,2,45,561,7.9,25.5,64,22.5,485,5.3,26.5,2
95,Hawaii,MWC,G5,2-0,90.04,94,22.49,1,0,Hawaii,113,9,3,2,0,15,Hawaii,3,48.3,538.7,8.1,26,108,34.7,503.3,7.3,23,0.7
38,Georgia Tech,ACC,P5,1-0,41.06,39,10.43,0,0,Georgia Tech,47,13,5,1,0,38,Georgia Tech,2,39.5,572.5,7.8,26,75,24.5,286,4.5,19,1.5
108,Georgia State,SBC,G5,1-0,102.48,106,19.34,0,0,Georgia State,98,11,7,1,0,121,Georgia State,2,15.5,333,5.1,20,99,30.5,461.5,6.6,23,1.5
107,Georgia Southern,SBC,G5,1-0,102.23,107,14.76,0,0,Georgia Southern,125,18,2,1,0,56,Georgia Southern,2,35.5,174,5.8,9.5,13,9.5,75.5,2.9,5,1
5,Georgia,SEC,P5,1-0,6.76,5,6.01,6,1,Georgia,5,13,13,1,0,27,Georgia,2,43,490.5,7.5,25.5,8,8.5,244,4.1,13,1.5
41,Fresno State,MWC,G5,1-0,43.13,39,16.96,0,0,Fresno State,69,15,10,1,0,20,Fresno State,2,46.5,393.5,6.1,19,39,17,307,4.5,18.5,4
40,Florida State,ACC,P5,0-1,42.74,38,18.5,6,0,Florida State,35,12,7,0,1,108,Florida State,2,19.5,392,5.5,18.5,76,25,427,6.1,19.5,2.5
105,Florida International,CUSA,G5,0-1,101.77,106,15.46,1,0,Florida International,67,11,8,0,1,83,Florida International,2,28,408,5.5,23.5,93,29,430.5,5.9,23.5,0.5
